,ID,LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,Y_default
36,36,160000.0,-1.0,-1.0,-2.0,-2.0,-2.0,-1.0,131.0,396.0,396.0,565.0,0
37,37,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,8026.0,8060.0,6300.0,6400.0,0
38,38,60000.0,0.0,0.0,0.0,0.0,0.0,-1.0,1500.0,1518.0,2043.0,0.0,0
39,39,50000.0,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,780.0,0.0,0.0,0.0,1
40,40,280000.0,-1.0,-1.0,2.0,-1.0,0.0,-1.0,9075.0,0.0,9976.0,8000.0,0
41,41,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,7000.0,6000.0,188840.0,0
42,42,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,4500.0,4042.0,2500.0,0
43,43,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,2927.0,1000.0,300.0,0
44,44,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,3000.0,4000.0,0
45,45,40000.0,0.0,0.0,0.0,2.0,0.0,0.0,3000.0,5000.0,0.0,2000.0,0
46,46,210000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1
47,47,20000.0,0.0,0.0,2.0,-1.0,0.0,0.0,3000.0,0.0,16741.0,334.0,1
48,48,150000.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1013.0,1170.0,0.0,0.0,1
49,49,380000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21540.0,15138.0,24677.0,11851.0,0
50,50,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.0,1315.0,704.0,928.0,0
51,51,70000.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,3100.0,2000.0,0.0,1
52,52,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1606.0,1500.0,2000.0,0
53,53,310000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7875.0,7600.0,11185.0,3544.0,0
54,54,180000.0,1.0,2.0,0.0,0.0,0.0,0.0,1300.0,2010.0,1762.0,1762.0,0
55,55,150000.0,2.0,0.0,0.0,0.0,0.0,0.0,1600.0,1718.0,1049.0,1500.0,0
56,56,500000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3640.0,162.0,0.0,151.0,0
57,57,180000.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,8500.0,1500.0,7500.0,679.0,0
58,58,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,8083.0,7296.0,5253.0,4814.0,0
59,59,200000.0,-1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,700.0,0.0,0
60,60,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,15029.0,30000.0,12000.0,0
61,61,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.0,1300.0,1000.0,1000.0,1
62,62,70000.0,0.0,0.0,0.0,0.0,0.0,-1.0,4025.0,2095.0,1000.0,2000.0,0
63,63,50000.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2700.0,0.0,2225.0,1
64,64,50000.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,1000.0,0.0,0.0,0.0,1
65,65,130000.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,2353.0,0
66,66,200000.0,-2.0,-2.0,-2.0,-1.0,2.0,2.0,0.0,0.0,8222.0,300.0,1
67,67,10000.0,2.0,2.0,2.0,0.0,0.0,0.0,2300.0,0.0,150.0,200.0,1
68,68,210000.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,300.0,1159.0,2280.0,300.0,0
69,69,130000.0,1.0,-2.0,-2.0,-1.0,2.0,-1.0,0.0,0.0,20161.0,0.0,0
70,70,20000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1000.0,500.0,0
71,71,80000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,390.0,390.0,390.0,0
72,72,320000.0,2.0,2.0,2.0,2.0,2.0,2.0,2500.0,2500.0,0.0,4800.0,1
73,73,200000.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,5818.0,15.0,9102.0,17.0,0
74,74,290000.0,1.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0,3155.0,0.0,2359.0,0
75,75,340000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5713.0,23453.0,4314.0,80552.0,0
76,76,20000.0,0.0,0.0,2.0,0.0,0.0,0.0,2850.0,0.0,610.0,630.0,0
77,77,50000.0,-1.0,0.0,0.0,0.0,0.0,0.0,1759.0,1779.0,320.0,500.0,0
78,78,300000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,291.0,291.0,291.0,291.0,0
79,79,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.0,1400.0,560.0,3000.0,1
80,80,240000.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1
81,81,470000.0,0.0,0.0,0.0,0.0,0.0,0.0,6400.0,7566.0,3000.0,960.0,0
82,82,360000.0,0.0,0.0,0.0,0.0,0.0,-1.0,4796.0,3400.0,3100.0,146900.0,0
83,83,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.0,1213.0,648.0,768.0,1
84,84,400000.0,0.0,0.0,2.0,0.0,0.0,0.0,10700.0,3.0,3050.0,3000.0,0
85,85,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1676.0,1302.0,700.0,699.0,0
86,86,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,4400.0,3547.0,80000.0,4500.0,0
87,87,360000.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,1170.0,0.0,0.0,390.0,1
88,88,160000.0,0.0,0.0,0.0,0.0,0.0,-1.0,1147.0,2000.0,2000.0,0.0,0
89,89,130000.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,40000.0,5000.0,1330.0,7095.0,0
90,90,20000.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1651.0,1000.0,2000.0,0
91,91,200000.0,2.0,2.0,2.0,2.0,2.0,2.0,6300.0,5500.0,5500.0,5500.0,1
92,92,280000.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,0.0,3968.0,0.0,0.0,0
93,93,100000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7555.0,0.0,0.0,0.0,0
94,94,160000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,1602.0,840.0,840.0,0.0,0
95,95,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,1937.0,1301.0,682.0,690.0,0
96,96,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,3621.0,3597.0,1179.0,1112.0,0
97,97,360000.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8339.0,3394.0,12902.0,27000.0,0
98,98,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,4031.0,10006.0,3266.0,4040.0,0
99,99,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.0,1194.0,379.0,281.0,0
100,100,20000.0,0.0,0.0,0.0,0.0,0.0,-1.0,1699.0,1460.0,626.0,1750.0,1
101,101,140000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,10212.0,850.0,415.0,100.0,0
102,102,380000.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,223.0,33178.0,1171.0,1197.0,0
103,103,480000.0,0.0,0.0,0.0,2.0,2.0,0.0,16078.0,55693.0,17000.0,0.0,0
104,104,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1767.0,1362.0,1002.0,840.0,1
105,105,60000.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,5000.0,2511.0,6.0,0
106,106,70000.0,-1.0,-1.0,-2.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0
107,107,80000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2861.0,3279.0,3319.0,1150.0,0
108,108,350000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2272.0,722.0,867.0,1150.0,0
109,109,130000.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,10908.0,0.0,133657.0,4566.0,0
110,110,360000.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0
111,111,330000.0,0.0,0.0,2.0,0.0,0.0,0.0,9260.0,0.0,3593.0,4100.0,0
112,112,50000.0,0.0,0.0,2.0,0.0,0.0,0.0,2000.0,1000.0,1000.0,1000.0,0
113,113,280000.0,2.0,2.0,2.0,2.0,2.0,3.0,6500.0,0.0,14254.0,14850.0,0
114,114,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2677.0,3076.0,5080.0,0
115,115,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,1305.0,700.0,718.0,0
116,116,30000.0,-1.0,2.0,0.0,0.0,3.0,2.0,0.0,1312.0,3000.0,0.0,1
117,117,240000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,326.0,326.0,5676.0,476.0,0
118,118,80000.0,2.0,0.0,0.0,0.0,0.0,0.0,2000.0,1700.0,1000.0,1000.0,1
119,119,400000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9677.0,11867.0,7839.0,14837.0,0
120,120,240000.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2000.0,3000.0,3000.0,1307.0,0
121,121,50000.0,2.0,2.0,2.0,3.0,2.0,2.0,1000.0,4035.0,1000.0,1400.0,1
122,122,450000.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1
123,123,110000.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0
124,124,310000.0,2.0,0.0,0.0,0.0,0.0,0.0,13019.0,11128.0,8407.0,8599.0,1
125,125,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,1130.0,600.0,861.0,0
126,126,20000.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0
127,127,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,3568.0,3585.0,3602.0,3848.0,0
128,128,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,4655.0,2690.0,2067.0,2142.0,1
129,129,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1066.0,1300.0,1500.0,1
130,130,60000.0,3.0,2.0,2.0,0.0,0.0,0.0,2504.0,7.0,1200.0,1200.0,0
131,131,30000.0,1.0,-2.0,-2.0,-2.0,-1.0,-1.0,5645.0,3508.0,27.0,13771.0,0
132,132,240000.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,2622.0,3301.0,0.0,360.0,0
133,133,420000.0,0.0,0.0,0.0,0.0,0.0,0.0,9744.0,9553.0,7603.0,7830.0,0
134,134,330000.0,0.0,0.0,0.0,0.0,0.0,0.0,8210.0,8095.0,8025.0,8175.0,0
135,135,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1400.0,0.0,500.0,0
136,136,240000.0,0.0,0.0,0.0,2.0,2.0,2.0,1500.0,1800.0,0.0,1000.0,0
137,137,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,3000.0,3000.0,3000.0,0
138,138,210000.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1000.0,500.0,0
139,139,50000.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,300.0,5880.0,0.0,0.0,1
140,140,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,1700.0,1000.0,900.0,0
141,141,240000.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1
142,142,180000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,416.0,332.0,500.0,0
143,143,50000.0,1.0,2.0,2.0,2.0,0.0,0.0,1000.0,10000.0,400.0,700.0,0
144,144,170000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,10000.0,10000.0,10000.0,9983.0,0
145,145,20000.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,15586.0,344.0,2340.0,4702.0,0
146,146,50000.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.0,1500.0,2000.0,1583.0,0
147,147,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.0,1200.0,351.0,358.0,1
148,148,200000.0,1.0,2.0,0.0,0.0,0.0,0.0,8000.0,5000.0,55500.0,5000.0,0
149,149,80000.0,1.0,2.0,3.0,2.0,0.0,0.0,1650.0,0.0,0.0,379.0,0
150,150,260000.0,1.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0,22500.0,0.0,969.0,0
151,151,140000.0,0.0,0.0,0.0,0.0,2.0,0.0,3455.0,3110.0,5000.0,0.0,0
152,152,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,3000.0,6000.0,8000.0,0
153,153,350000.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,2906.0,1000.0,630.0,0.0,0
154,154,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,8042.0,6700.0,5137.0,100000.0,0
155,155,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,1500.0,1000.0,1500.0,0
156,156,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,11885.0,5000.0,0
157,157,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,3250.0,3250.0,3500.0,0
158,158,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,7300.0,7108.0,7680.0,6200.0,0
159,159,210000.0,2.0,3.0,4.0,4.0,5.0,6.0,10478.0,10478.0,11078.0,11078.0,1
160,160,50000.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1600.0,500.0,500.0,0
161,161,30000.0,2.0,2.0,2.0,2.0,2.0,0.0,3500.0,0.0,2200.0,0.0,0
162,162,50000.0,2.0,-1.0,-1.0,-1.0,-1.0,2.0,390.0,780.0,216.0,864.0,0
163,163,290000.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,396.0,396.0,792.0,0.0,0
164,164,250000.0,0.0,0.0,2.0,0.0,0.0,0.0,17994.0,0.0,5469.0,5656.0,0
165,165,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1500.0,1500.0,1000.0,0
166,166,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,3900.0,3000.0,2900.0,0
167,167,370000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,15383.0,8204.0,15413.0,4792.0,0
168,168,100000.0,-1.0,2.0,2.0,0.0,0.0,0.0,3166.0,0.0,1330.0,1398.0,0
169,169,90000.0,0.0,0.0,0.0,0.0,0.0,2.0,3500.0,3500.0,3652.0,10000.0,0
170,170,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.0,1442.0,982.0,1017.0,0
171,171,270000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,2000.0,3000.0,4000.0,0
172,172,300000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3288.0,0.0,4340.0,2672.0,0
173,173,50000.0,-1.0,0.0,0.0,0.0,0.0,0.0,15000.0,1000.0,149.0,0.0,0
174,174,50000.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1
175,175,360000.0,1.0,-2.0,-1.0,-1.0,-2.0,-2.0,0.0,77.0,0.0,0.0,0
176,176,130000.0,1.0,2.0,2.0,2.0,2.0,3.0,3000.0,3000.0,3000.0,5500.0,1
177,177,80000.0,-2.0,-1.0,0.0,0.0,0.0,0.0,504.0,500.0,1000.0,500.0,0
178,178,50000.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1500.0,1000.0,2000.0,0
179,179,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,1201.0,500.0,1500.0,0
180,180,80000.0,0.0,0.0,2.0,0.0,0.0,0.0,5800.0,1000.0,600.0,400.0,0
181,181,240000.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,15000.0,0.0,2000.0,0.0,0
182,182,80000.0,0.0,-1.0,0.0,0.0,0.0,0.0,12500.0,6500.0,3000.0,2000.0,0
183,183,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,70010.0,30357.0,30000.0,20000.0,0
184,184,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,1600.0,3000.0,1000.0,1
185,185,20000.0,0.0,0.0,0.0,0.0,0.0,-1.0,1200.0,1593.0,601.0,135.0,0
186,186,100000.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1600.0,1500.0,0.0,1
187,187,360000.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57087.0,5295.0,68454.0,13889.0,0
188,188,200000.0,2.0,2.0,2.0,2.0,2.0,2.0,8214.0,7000.0,6800.0,7134.0,1
189,189,130000.0,1.0,-1.0,0.0,0.0,0.0,0.0,5396.0,5000.0,3500.0,501.0,0
190,190,20000.0,1.0,5.0,4.0,4.0,3.0,2.0,0.0,1000.0,0.0,0.0,0
191,191,310000.0,0.0,0.0,0.0,0.0,0.0,0.0,10020.0,6031.0,10057.0,5028.0,0
192,192,60000.0,2.0,0.0,0.0,0.0,2.0,0.0,1342.0,1664.0,2000.0,0.0,1
193,193,180000.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,199.0,0.0,0.0,17227.0,0
194,194,180000.0,-1.0,-1.0,2.0,0.0,0.0,-2.0,37867.0,0.0,200.0,0.0,0
195,195,50000.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2000.0,1000.0,2000.0,500.0,0
196,196,50000.0,1.0,2.0,2.0,2.0,2.0,2.0,1900.0,1400.0,1700.0,1532.0,1
197,197,150000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,116.0,0.0,0
198,198,20000.0,0.0,0.0,0.0,0.0,-1.0,0.0,1500.0,1032.0,541.0,20000.0,0
199,199,500000.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,138.0,2299.0,1251.0,1206.0,0
200,200,30000.0,1.0,2.0,2.0,0.0,0.0,0.0,1000.0,85.0,1714.0,104.0,1
201,201,180000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0
405,202,140000.0,0.0,0.0,2.0,0.0,0.0,2.0,25000.0,0.0,3000.0,7800.0,0
406,203,140000.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,10000.0,13001.0,5841.0,13506.0,0
407,204,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,4152.0,5000.0,0
408,205,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,9100.0,7300.0,5800.0,5600.0,0
409,206,20000.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22359.0,1305.0,1258.0,1459.0,0
410,207,100000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1473.0,390.0,390.0,390.0,0
411,208,210000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1586.0,343.0,3763.0,877.0,1
412,209,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,3000.0,2038.0,2000.0,1
413,210,330000.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,4345.0,2854.0,1702.0,0.0,0
414,211,220000.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,5000.0,5050.0,8303.0,0.0,0
415,212,210000.0,1.0,-2.0,-1.0,0.0,-1.0,-1.0,0.0,250.0,0.0,789.0,1
416,213,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,1504.0,1200.0,1500.0,0
417,214,30000.0,0.0,0.0,0.0,2.0,0.0,0.0,3036.0,2309.0,0.0,1000.0,0
418,215,470000.0,2.0,2.0,2.0,2.0,0.0,0.0,13000.0,11001.0,0.0,10484.0,0
419,216,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,390.0,390.0,240.0,1470.0,0
420,217,240000.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1
421,218,80000.0,2.0,0.0,0.0,0.0,0.0,0.0,3100.0,3500.0,3400.0,3000.0,0
422,219,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,5000.0,3000.0,3000.0,0
423,220,310000.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,4542.0,126.0,0.0,0.0,0
424,221,360000.0,2.0,2.0,2.0,0.0,0.0,0.0,12000.0,0.0,5900.0,5000.0,1
425,222,330000.0,0.0,0.0,0.0,0.0,0.0,0.0,12388.0,12378.0,12116.0,12450.0,0
426,223,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,12019.0,9006.0,17000.0,12000.0,0
427,224,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,10042.0,18832.0,2117.0,2076.0,0
428,225,50000.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,24.0,1500.0,1000.0,1
429,226,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,6530.0,4860.0,22500.0,4820.0,0
430,227,350000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,2686.0,1864.0,569.0,0.0,0
431,228,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,1609.0,3000.0,663.0,676.0,0
432,229,50000.0,2.0,0.0,0.0,0.0,0.0,0.0,2401.0,2254.0,2004.0,704.0,1
433,230,20000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1333.0,500.0,100.0,0
434,231,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,2090.0,2002.0,1002.0,238.0,0
435,232,20000.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1200.0,1000.0,0.0,1
436,233,50000.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,2624.0,45567.0,0
437,234,190000.0,2.0,0.0,0.0,0.0,2.0,2.0,5000.0,5000.0,10000.0,0.0,1
438,235,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,1506.0,1298.0,1000.0,721.0,0
439,236,80000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3983.0,6853.0,1719.0,1378.0,0
440,237,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,1745.0,1566.0,1208.0,0
441,238,210000.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0,7422.0,893.0,6082.0,0
442,239,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,10116.0,9150.0,8008.0,8000.0,1
443,240,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,2000.0,2198.0,1000.0,1
444,241,60000.0,1.0,2.0,2.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0
445,242,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,2000.0,3000.0,2000.0,0
446,243,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,1750.0,900.0,1200.0,0
447,244,180000.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2821.0,0.0,0.0,2821.0,0
448,245,30000.0,-1.0,-1.0,2.0,2.0,2.0,2.0,355.0,120.0,0.0,0.0,0
449,246,20000.0,0.0,0.0,0.0,0.0,0.0,-2.0,1601.0,2203.0,2114.0,0.0,0
450,247,250000.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1631.0,1536.0,1010.0,5572.0,0
451,248,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.0,1799.0,1100.0,1150.0,0
